LOCAL,SUBSCRIB,INSURANCE,GENDER,AGE,N_SI_NUMER,N_SI_DENO,N_SI_IV,SI_IV
충청북도 청주시 상당구 낭성면,전체,전체,전체,전체,711,"2,164",32.86,21.82
충청북도 청주시 상당구 미원면,전체,전체,전체,전체,"1,560","4,846",32.19,21.13
충청북도 청주시 상당구 가덕면,전체,전체,전체,전체,"1,255","4,007",31.32,23.29
충청북도 청주시 상당구 남일면,전체,전체,전체,전체,"1,545","5,776",26.75,22.14
충청북도 청주시 상당구 문의면,전체,전체,전체,전체,"1,228","4,055",30.28,20.91
충청북도 청주시 상당구 중앙동,전체,전체,전체,전체,"1,357","5,556",24.42,21.87
충청북도 청주시 상당구 성안동,전체,전체,전체,전체,"1,635","5,685",28.76,23.01
충청북도 청주시 상당구 탑.대성동,전체,전체,전체,전체,"2,324","9,409",24.70,22.79
충청북도 청주시 상당구 영운동,전체,전체,전체,전체,"2,321","9,761",23.78,23.92
충청북도 청주시 상당구 금천동,전체,전체,전체,전체,"4,802","25,022",19.19,23.03
충청북도 청주시 상당구 용담.명암.산성동,전체,전체,전체,전체,"1,507","8,611",17.50,20.71
충청북도 청주시 상당구 용암1동,전체,전체,전체,전체,"5,758","33,552",17.16,22.35
충청북도 청주시 상당구 용암2동,전체,전체,전체,전체,"3,300","18,406",17.93,22.76
충청북도 청주시 서원구 남이면,전체,전체,전체,전체,"1,856","7,046",26.34,22.42
충청북도 청주시 서원구 현도면,전체,전체,전체,전체,"1,219","3,568",34.16,23.44
충청북도 청주시 서원구 사직1동,전체,전체,전체,전체,"1,921","8,083",23.77,22.00
충청북도 청주시 서원구 사직2동,전체,전체,전체,전체,"2,430","12,424",19.56,22.23
충청북도 청주시 서원구 사창동,전체,전체,전체,전체,"2,624","14,328",18.31,21.94
충청북도 청주시 서원구 모충동,전체,전체,전체,전체,"3,302","14,583",22.64,23.52
충청북도 청주시 서원구 산남동,전체,전체,전체,전체,"3,189","21,249",15.01,21.42
충청북도 청주시 서원구 분평동,전체,전체,전체,전체,"4,164","25,204",16.52,22.49
충청북도 청주시 서원구 수곡1동,전체,전체,전체,전체,"3,045","13,429",22.67,22.73
충청북도 청주시 서원구 수곡2동,전체,전체,전체,전체,"3,281","12,987",25.26,24.85
충청북도 청주시 서원구 성화.개신.죽림동,전체,전체,전체,전체,"6,148","37,559",16.37,22.62
충청북도 청주시 흥덕구 오송읍,전체,전체,전체,전체,"3,120","16,784",18.59,22.31
충청북도 청주시 흥덕구 강내면,전체,전체,전체,전체,"2,020","8,993",22.46,22.72
충청북도 청주시 흥덕구 옥산면,전체,전체,전체,전체,"2,108","9,136",23.07,22.93
충청북도 청주시 흥덕구 운천.신봉동,전체,전체,전체,전체,"3,335","16,292",20.47,23.39
충청북도 청주시 흥덕구 복대1동,전체,전체,전체,전체,"5,309","39,056",13.59,22.04
충청북도 청주시 흥덕구 복대2동,전체,전체,전체,전체,"3,069","15,642",19.62,22.59
충청북도 청주시 흥덕구 가경동,전체,전체,전체,전체,"6,617","40,020",16.53,22.51
충청북도 청주시 흥덕구 봉명1동,전체,전체,전체,전체,"1,859","10,805",17.20,21.96
충청북도 청주시 흥덕구 봉명2.송정동,전체,전체,전체,전체,"3,334","21,882",15.24,22.51
충청북도 청주시 흥덕구 강서제1동,전체,전체,전체,전체,"3,506","18,297",19.16,22.87
충청북도 청주시 흥덕구 강서제2동,전체,전체,전체,전체,766,"3,697",20.72,22.80
충청북도 청주시 청원구 내수읍,전체,전체,전체,전체,"3,786","15,790",23.98,23.94
충청북도 청주시 청원구 오창읍,전체,전체,전체,전체,"6,106","44,322",13.78,22.09
충청북도 청주시 청원구 북이면,전체,전체,전체,전체,"1,446","5,009",28.87,22.00
충청북도 청주시 청원구 우암동,전체,전체,전체,전체,"2,744","11,322",24.24,23.02
충청북도 청주시 청원구 내덕1동,전체,전체,전체,전체,"2,145","8,593",24.96,23.24
충청북도 청주시 청원구 내덕2동,전체,전체,전체,전체,"2,460","10,713",22.96,23.48
충청북도 청주시 청원구 율량.사천동,전체,전체,전체,전체,"6,352","37,793",16.81,22.58
충청북도 청주시 청원구 오근장동,전체,전체,전체,전체,"2,097","13,593",15.43,21.24
